DATE	VALUE	
19-1-2016	0.00533
20-1-2016	0.005271
21-1-2016	0.00537
22-1-2016	0.005314
23-1-2016	0.005109
24-1-2016	0.005121
25-1-2016	0.005218
26-1-2016	0.005138
27-1-2016	0.005408
28-1-2016	0.006507
29-1-2016	0.006228
30-1-2016	0.006824
31-1-2016	0.006631
1-2-2016	0.006398
2-2-2016	0.006545
3-2-2016	0.006771
4-2-2016	0.006882
5-2-2016	0.006965
6-2-2016	0.007273
7-2-2016	0.007924
8-2-2016	0.008375
9-2-2016	0.007999
10-2-2016	0.007827
11-2-2016	0.007857
12-2-2016	0.007822
13-2-2016	0.007961
14-2-2016	0.008263
15-2-2016	0.008593
16-2-2016	0.008631
17-2-2016	0.008456
18-2-2016	0.008135
19-2-2016	0.007994
20-2-2016	0.008253
21-2-2016	0.008246
22-2-2016	0.0081
23-2-2016	0.008055
24-2-2016	0.007971
25-2-2016	0.008063
26-2-2016	0.008025
27-2-2016	0.008063
28-2-2016	0.007977
29-2-2016	0.007895
1-3-2016	0.007923
2-3-2016	0.008005
3-3-2016	0.008028
4-3-2016	0.008036
5-3-2016	0.008117
6-3-2016	0.007857
7-3-2016	0.007835
8-3-2016	0.007911
9-3-2016	0.007951
10-3-2016	0.008051
11-3-2016	0.008183
12-3-2016	0.008801
13-3-2016	0.008698
14-3-2016	0.008624
15-3-2016	0.008478
16-3-2016	0.008185
17-3-2016	0.008182
18-3-2016	0.008284
19-3-2016	0.008124
20-3-2016	0.008015
21-3-2016	0.007956
22-3-2016	0.008028
23-3-2016	0.008109
24-3-2016	0.008335
25-3-2016	0.008234
26-3-2016	0.00819
27-3-2016	0.008062
28-3-2016	0.008025
29-3-2016	0.007573
30-3-2016	0.007568
31-3-2016	0.007332
1-4-2016	0.007391
2-4-2016	0.007418
3-4-2016	0.007504
4-4-2016	0.007502
5-4-2016	0.007488
6-4-2016	0.007467
7-4-2016	0.007308
8-4-2016	0.006875
9-4-2016	0.006674
10-4-2016	0.006289
11-4-2016	0.005937
12-4-2016	0.006048
13-4-2016	0.005884
14-4-2016	0.005697
15-4-2016	0.006303
16-4-2016	0.006421
17-4-2016	0.006499
18-4-2016	0.006503
19-4-2016	0.006987
20-4-2016	0.007117
21-4-2016	0.007265
22-4-2016	0.007439
23-4-2016	0.007282
24-4-2016	0.007344
25-4-2016	0.00725
26-4-2016	0.007279
27-4-2016	0.007094
28-4-2016	0.00672
29-4-2016	0.006689
30-4-2016	0.006761
1-5-2016	0.006812
2-5-2016	0.006791
3-5-2016	0.006716
4-5-2016	0.006558
5-5-2016	0.006323
6-5-2016	0.006198
7-5-2016	0.006395
8-5-2016	0.00649
9-5-2016	0.006402
10-5-2016	0.006399
11-5-2016	0.006272
12-5-2016	0.006188
13-5-2016	0.006167
14-5-2016	0.006111
15-5-2016	0.006072
16-5-2016	0.006061
17-5-2016	0.006022
18-5-2016	0.006022
19-5-2016	0.006025
20-5-2016	0.006028
21-5-2016	0.00609
22-5-2016	0.005989
23-5-2016	0.005935
24-5-2016	0.005911
25-5-2016	0.005962
26-5-2016	0.005757
27-5-2016	0.00567
28-5-2016	0.005676
29-5-2016	0.005682
30-5-2016	0.005664
31-5-2016	0.005746
1-6-2016	0.005701
2-6-2016	0.005809
3-6-2016	0.005766
4-6-2016	0.005829
5-6-2016	0.005779
6-6-2016	0.005795
7-6-2016	0.005764
8-6-2016	0.00578
9-6-2016	0.005769
10-6-2016	0.005785
